"EXP","GCM","RCM","BC","HM","variable","url"
"rcp45","CNRM-CERFACS-CNRM-CM5","CNRM-ALADIN63","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/CNRM-CERFACS-CNRM-CM5/CNRM-ALADIN63/rcp45/debit_Loire_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_20050801-21000731.nc"
"rcp85","CNRM-CERFACS-CNRM-CM5","CNRM-ALADIN63","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/CNRM-CERFACS-CNRM-CM5/CNRM-ALADIN63/rcp85/debit_Loire_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_20050801-21000731.nc"
"rcp85","CNRM-CERFACS-CNRM-CM5","CNRM-ALADIN63","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/CNRM-CERFACS-CNRM-CM5/CNRM-ALADIN63/rcp85/debit_Loire_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v2_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_20050801-21000731.nc"
"historical","CNRM-CERFACS-CNRM-CM5","MOHC-HadREM3-GA7-05","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/CNRM-CERFACS-CNRM-CM5/MOHC-HadREM3-GA7-05/historical/debit_Loire_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_MOHC-HadREM3-GA7-05_v2_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_19520801-20050731.nc"
"historical","CNRM-CERFACS-CNRM-CM5","MOHC-HadREM3-GA7-05","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/CNRM-CERFACS-CNRM-CM5/MOHC-HadREM3-GA7-05/historical/debit_Loire_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_MOHC-HadREM3-GA7-05_v2_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_19520801-20050731.nc"
"rcp85","CNRM-CERFACS-CNRM-CM5","MOHC-HadREM3-GA7-05","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/CNRM-CERFACS-CNRM-CM5/MOHC-HadREM3-GA7-05/rcp85/debit_Loire_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_MOHC-HadREM3-GA7-05_v2_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_20050801-21000731.nc"
"rcp85","CNRM-CERFACS-CNRM-CM5","MOHC-HadREM3-GA7-05","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/CNRM-CERFACS-CNRM-CM5/MOHC-HadREM3-GA7-05/rcp85/debit_Loire_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_MOHC-HadREM3-GA7-05_v2_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_20050801-21000731.nc"
"historical","ICHEC-EC-EARTH","KNMI-RACMO22E","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/KNMI-RACMO22E/historical/debit_Loire_ICHEC-EC-EARTH_historical_r12i1p1_KNMI-RACMO22E_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_19500801-20050731.nc"
"historical","ICHEC-EC-EARTH","KNMI-RACMO22E","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/KNMI-RACMO22E/historical/debit_Loire_ICHEC-EC-EARTH_historical_r12i1p1_KNMI-RACMO22E_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_19500801-20050731.nc"
"rcp26","ICHEC-EC-EARTH","KNMI-RACMO22E","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/KNMI-RACMO22E/rcp26/debit_Loire_ICHEC-EC-EARTH_rcp26_r12i1p1_KNMI-RACMO22E_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_20050801-21000731.nc"
"rcp26","ICHEC-EC-EARTH","KNMI-RACMO22E","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/KNMI-RACMO22E/rcp26/debit_Loire_ICHEC-EC-EARTH_rcp26_r12i1p1_KNMI-RACMO22E_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_20050801-21000731.nc"
"rcp45","ICHEC-EC-EARTH","KNMI-RACMO22E","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/KNMI-RACMO22E/rcp45/debit_Loire_ICHEC-EC-EARTH_rcp45_r12i1p1_KNMI-RACMO22E_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_20050801-21000731.nc"
"rcp45","ICHEC-EC-EARTH","KNMI-RACMO22E","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/KNMI-RACMO22E/rcp45/debit_Loire_ICHEC-EC-EARTH_rcp45_r12i1p1_KNMI-RACMO22E_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_20050801-21000731.nc"
"rcp85","ICHEC-EC-EARTH","KNMI-RACMO22E","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/KNMI-RACMO22E/rcp85/debit_Loire_ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_20050801-21000731.nc"
"rcp85","ICHEC-EC-EARTH","KNMI-RACMO22E","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/KNMI-RACMO22E/rcp85/debit_Loire_ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_20050801-21000731.nc"
"historical","ICHEC-EC-EARTH","MOHC-HadREM3-GA7-05","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/MOHC-HadREM3-GA7-05/historical/debit_Loire_ICHEC-EC-EARTH_historical_r12i1p1_MOHC-HadREM3-GA7-05_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_19520801-20050731.nc"
"historical","ICHEC-EC-EARTH","MOHC-HadREM3-GA7-05","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/MOHC-HadREM3-GA7-05/historical/debit_Loire_ICHEC-EC-EARTH_historical_r12i1p1_MOHC-HadREM3-GA7-05_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_19520801-20050731.nc"
"rcp26","ICHEC-EC-EARTH","MOHC-HadREM3-GA7-05","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/MOHC-HadREM3-GA7-05/rcp26/debit_Loire_ICHEC-EC-EARTH_rcp26_r12i1p1_MOHC-HadREM3-GA7-05_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_20050801-20990731.nc"
"rcp26","ICHEC-EC-EARTH","MOHC-HadREM3-GA7-05","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/MOHC-HadREM3-GA7-05/rcp26/debit_Loire_ICHEC-EC-EARTH_rcp26_r12i1p1_MOHC-HadREM3-GA7-05_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_20050801-20990731.nc"
"rcp85","ICHEC-EC-EARTH","MOHC-HadREM3-GA7-05","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/MOHC-HadREM3-GA7-05/rcp85/debit_Loire_ICHEC-EC-EARTH_rcp85_r12i1p1_MOHC-HadREM3-GA7-05_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_20050801-21000731.nc"
"rcp85","ICHEC-EC-EARTH","MOHC-HadREM3-GA7-05","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/MOHC-HadREM3-GA7-05/rcp85/debit_Loire_ICHEC-EC-EARTH_rcp85_r12i1p1_MOHC-HadREM3-GA7-05_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_20050801-21000731.nc"
"historical","ICHEC-EC-EARTH","SMHI-RCA4","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/SMHI-RCA4/historical/debit_Loire_ICHEC-EC-EARTH_historical_r12i1p1_SMHI-RCA4_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_19700801-20050731.nc"
"historical","ICHEC-EC-EARTH","SMHI-RCA4","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/SMHI-RCA4/historical/debit_Loire_ICHEC-EC-EARTH_historical_r12i1p1_SMHI-RCA4_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_19700801-20050731.nc"
"rcp26","ICHEC-EC-EARTH","SMHI-RCA4","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/SMHI-RCA4/rcp26/debit_Loire_ICHEC-EC-EARTH_rcp26_r12i1p1_SMHI-RCA4_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_20050801-21000731.nc"
"rcp26","ICHEC-EC-EARTH","SMHI-RCA4","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/SMHI-RCA4/rcp26/debit_Loire_ICHEC-EC-EARTH_rcp26_r12i1p1_SMHI-RCA4_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_20050801-21000731.nc"
"rcp45","ICHEC-EC-EARTH","SMHI-RCA4","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/SMHI-RCA4/rcp45/debit_Loire_ICHEC-EC-EARTH_rcp45_r12i1p1_SMHI-RCA4_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_20050801-21000731.nc"
"rcp45","ICHEC-EC-EARTH","SMHI-RCA4","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/SMHI-RCA4/rcp45/debit_Loire_ICHEC-EC-EARTH_rcp45_r12i1p1_SMHI-RCA4_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_20050801-21000731.nc"
"rcp85","ICHEC-EC-EARTH","SMHI-RCA4","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/SMHI-RCA4/rcp85/debit_Loire_ICHEC-EC-EARTH_rcp85_r12i1p1_SMHI-RCA4_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_20050801-21000731.nc"
"rcp85","ICHEC-EC-EARTH","SMHI-RCA4","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/ICHEC-EC-EARTH/SMHI-RCA4/rcp85/debit_Loire_ICHEC-EC-EARTH_rcp85_r12i1p1_SMHI-RCA4_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_20050801-21000731.nc"
"historical","IPSL-IPSL-CM5A-MR","DMI-HIRHAM5","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/IPSL-IPSL-CM5A-MR/DMI-HIRHAM5/historical/debit_Loire_IPSL-IPSL-CM5A-MR_historical_r1i1p1_DMI-HIRHAM5_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_19510801-20050731.nc"
"historical","IPSL-IPSL-CM5A-MR","DMI-HIRHAM5","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/IPSL-IPSL-CM5A-MR/DMI-HIRHAM5/historical/debit_Loire_IPSL-IPSL-CM5A-MR_historical_r1i1p1_DMI-HIRHAM5_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_19510801-20050731.nc"
"rcp85","IPSL-IPSL-CM5A-MR","DMI-HIRHAM5","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/IPSL-IPSL-CM5A-MR/DMI-HIRHAM5/rcp85/debit_Loire_IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_DMI-HIRHAM5_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_20050801-21000731.nc"
"rcp85","IPSL-IPSL-CM5A-MR","DMI-HIRHAM5","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/IPSL-IPSL-CM5A-MR/DMI-HIRHAM5/rcp85/debit_Loire_IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_DMI-HIRHAM5_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_20050801-21000731.nc"
"historical","IPSL-IPSL-CM5A-MR","SMHI-RCA4","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/IPSL-IPSL-CM5A-MR/SMHI-RCA4/historical/debit_Loire_IPSL-IPSL-CM5A-MR_historical_r1i1p1_SMHI-RCA4_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_19700801-20050731.nc"
"historical","IPSL-IPSL-CM5A-MR","SMHI-RCA4","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/IPSL-IPSL-CM5A-MR/SMHI-RCA4/historical/debit_Loire_IPSL-IPSL-CM5A-MR_historical_r1i1p1_SMHI-RCA4_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_19700801-20050731.nc"
"rcp45","IPSL-IPSL-CM5A-MR","SMHI-RCA4","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/IPSL-IPSL-CM5A-MR/SMHI-RCA4/rcp45/debit_Loire_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_SMHI-RCA4_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_20050801-21000731.nc"
"rcp45","IPSL-IPSL-CM5A-MR","SMHI-RCA4","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/IPSL-IPSL-CM5A-MR/SMHI-RCA4/rcp45/debit_Loire_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_SMHI-RCA4_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_20050801-21000731.nc"
"rcp85","IPSL-IPSL-CM5A-MR","SMHI-RCA4","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/IPSL-IPSL-CM5A-MR/SMHI-RCA4/rcp85/debit_Loire_IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_SMHI-RCA4_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_20050801-21000731.nc"
"rcp85","IPSL-IPSL-CM5A-MR","SMHI-RCA4","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/IPSL-IPSL-CM5A-MR/SMHI-RCA4/rcp85/debit_Loire_IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_SMHI-RCA4_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_20050801-21000731.nc"
"historical","MOHC-HadGEM2-ES","CLMcom-CCLM4-8-17","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/MOHC-HadGEM2-ES/CLMcom-CCLM4-8-17/historical/debit_Loire_MOHC-HadGEM2-ES_historical_r1i1p1_CLMcom-CCLM4-8-17_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_19500801-20050731.nc"
"historical","MOHC-HadGEM2-ES","CLMcom-CCLM4-8-17","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/MOHC-HadGEM2-ES/CLMcom-CCLM4-8-17/historical/debit_Loire_MOHC-HadGEM2-ES_historical_r1i1p1_CLMcom-CCLM4-8-17_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_19500801-20050731.nc"
"rcp45","MOHC-HadGEM2-ES","CLMcom-CCLM4-8-17","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/MOHC-HadGEM2-ES/CLMcom-CCLM4-8-17/rcp45/debit_Loire_MOHC-HadGEM2-ES_rcp45_r1i1p1_CLMcom-CCLM4-8-17_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_20050801-20990731.nc"
"rcp45","MOHC-HadGEM2-ES","CLMcom-CCLM4-8-17","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/MOHC-HadGEM2-ES/CLMcom-CCLM4-8-17/rcp45/debit_Loire_MOHC-HadGEM2-ES_rcp45_r1i1p1_CLMcom-CCLM4-8-17_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_20050801-20990731.nc"
"rcp85","MOHC-HadGEM2-ES","CLMcom-CCLM4-8-17","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/MOHC-HadGEM2-ES/CLMcom-CCLM4-8-17/rcp85/debit_Loire_MOHC-HadGEM2-ES_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_20050801-20990731.nc"
"rcp85","MOHC-HadGEM2-ES","CLMcom-CCLM4-8-17","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/MOHC-HadGEM2-ES/CLMcom-CCLM4-8-17/rcp85/debit_Loire_MOHC-HadGEM2-ES_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_20050801-20990731.nc"
"historical","MOHC-HadGEM2-ES","CNRM-ALADIN63","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/MOHC-HadGEM2-ES/CNRM-ALADIN63/historical/debit_Loire_MOHC-HadGEM2-ES_historical_r1i1p1_CNRM-ALADIN63_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_19500801-20050731.nc"
"historical","MOHC-HadGEM2-ES","CNRM-ALADIN63","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/MOHC-HadGEM2-ES/CNRM-ALADIN63/historical/debit_Loire_MOHC-HadGEM2-ES_historical_r1i1p1_CNRM-ALADIN63_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_19500801-20050731.nc"
"rcp85","MOHC-HadGEM2-ES","CNRM-ALADIN63","LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/MOHC-HadGEM2-ES/CNRM-ALADIN63/rcp85/debit_Loire_MOHC-HadGEM2-ES_rcp85_r1i1p1_CNRM-ALADIN63_v1_LSCE-IPSL-CDFt-L-1V-0L-SAFRAN-1976-2005_EDF-MORDOR-TS_day_20050801-20990731.nc"
"rcp85","MOHC-HadGEM2-ES","CNRM-ALADIN63","MF-ADAMONT-SAFRAN-1980-2011","MORDOR-TS","debit","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_MORDOR-TS/MOHC-HadGEM2-ES/CNRM-ALADIN63/rcp85/debit_Loire_MOHC-HadGEM2-ES_rcp85_r1i1p1_CNRM-ALADIN63_v1_MF-ADAMONT-SAFRAN-1980-2011_EDF-MORDOR-TS_day_20050801-20990731.nc"
